北港鎮公所,水利會,長老會,北港國泰人壽,蘇厝寮,崙陽路口,安和路口,水仙宮,板頭路口,派出所,舊南港,南壇,老塗師,頂菜園,後庄路口,新港國中,新港國小,新港市場,水利工作站,教會前,古民,崙子,北崙,埤子頭(1),埤子頭,天赦庄,崙尾,東崙尾,柴林路口,溪口國小,溪口農會,溪口,溪口國中,陳井寮,排路國小,排子頭,水汴頭,排子路,甘蔗崙,西甘蔗崙,大林,大林國中,果菜市場,水源路,山景社區,三塊厝,義和里,溝背,內林,林子前,變電所,過溪,大埔美,油車店,集貨場,互助社區,崎頭,崎頂營房,新崎頂,崎頂,過山村,梅山工業區,尾庄,新社區,電信局,梅山鄉公所,梅北,梅山市場,玉虛宮,梅山
Beigang Township Office,Irrigation Association,The Presbyterian Church,Beigang Cathy Life Insurance,Sucuoliao,Lunyang Road Intersection,An He Road Intersection,Shuixian Temple,Bantou Road Intersection,Police Station,Old Nangang,Nantan,Laotushi,Dingcaiyuan,Houzhuangzi Road Intersection,Xingang JHS.,Hsingang ES.,Xingang Market,Irrigation Workstation,Jiaohuiqian,Gumin,Lunzi,Beilun,Bizitou(1),Bizitou,Tianshezhuang,Lunwei,Donglunwei,Chailin Road Intersection,Xikou ES.,Xikou Famers' Association,Xikou,Xikou JHS.,Chenjingliao,Pailu ES.,Paizitou,Shuibiantou,Paizi Road,Ganzhelun,Xiganzhelun,Dalin,Dalin JHS.,Fruit & Vegetable Market,Shuiyuan Road,Shanjing Community,Sankuaicuo,Yihe Village,Goubei,Neilin,Linziqian,Electrical Substation,Guoxi,Dapumei,Youchedian,Goods Yard,Huzhu Community,Qitou,Qiding Barrack,Xinqiding,Qiding,Guoshan Village,Meishan Industrial Park,Weizhuang,New Community,Telecommunications Bureau,Meishan Township Office,Meibei,Meishan Market,Yuxu Temple,Meishan
-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100017,北港派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基督教會,慈濟醫院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ Church,Tzu Chi General Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7325,M,,,,,A[繞駛嘉義高工](支線暑期停駛，無時刻表…0716承辦已補),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港,嘉義,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beigang Township Office,Daya Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣公車處 05-2788177,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0600,0620,0730,0740,0840,0940,1040,1140,1240,1340,1440,1540,1610,1650,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730,0740,0840,0940,1040,1140,1240,1340,1440,1540,1610,1650,1710,1900,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北港鎮公所,水利會,長老會,北港國泰人壽,蘇厝寮,崙陽路口,安和路口,水仙宮,板頭路口,派出所,舊南港,南壇,老塗師,頂菜園,後庄路口,新港國中,新港國小,新港香客大樓,新港鄉公所,建昌社區,菜公村,南洋紡織公司,新興社區,月眉潭,月眉國小,水利會,嘉太工業區,華濟醫院,過溝社區,過溝,麻太路,麻魚寮,東麻魚寮,嘉新國中,南新,牛將軍廟,竹村,線路中心,下埤里,朱子公廟,大溪厝,大嘉駕訓班,姜母寮,森松公司,嘉義醫院,市議會,伏龍宮,嘉義,彰化銀行,中央噴水站,市政府,行政執行處,嘉義公園,嘉中,大雅站,,,,,,,,,,,,,,,
